setname;date;operation;rowGroup;rowGroupIndex;category;categoryIndex;subCategory;subCategoryIndex;columnGroup;columnGroupIndex;columnSubGroup;columnSubGroupIndex;pp1;ac1;fc1;pl1;pp2;ac2;fc2;pl2;pp3;ac3;fc3;pl3;pp4;ac4;fc4;pl4
europe;2020-01-31T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;New;1;Cat. A;1;28;27;27;27;33;29;36;31;52;53;47;50;27;27;27;29
europe;2020-01-31T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;Preowend;2;Cat. A;1;14;17;15;12;50;50;46;49;57;58;57;56;10;10;11;10
europe;2020-01-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;New;1;Cat. A;1;12;12;10;13;52;56;49;52;28;33;29;30;15;15;13;15
europe;2020-01-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;35;31;33;34;34;33;36;35;24;21;24;24;35;41;35;37
europe;2020-01-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;63;58;64;63;54;51;56;55;28;32;33;29;60;65;60;60
europe;2020-02-29T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;New;1;Cat. A;1;24;26;24;23;37;39;37;39;51;53;54;50;29;27;28;30
europe;2020-02-29T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;Preowend;2;Cat. A;1;14;15;15;13;53;52;58;54;53;50;51;53;15;12;16;15
europe;2020-02-29T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;New;1;Cat. A;1;12;16;12;13;51;49;56;52;33;33;29;32;16;14;19;15
europe;2020-02-29T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;39;43;36;41;39;44;42;40;20;18;21;20;40;42;34;40
europe;2020-02-29T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;59;65;57;58;52;50;56;52;27;33;29;27;58;63;53;56
europe;2020-03-31T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;New;1;Cat. A;1;28;32;30;27;36;34;35;35;56;56;58;56;24;21;23;23
europe;2020-03-31T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;Preowend;2;Cat. A;1;10;10;10;10;51;48;51;51;51;53;49;53;12;13;16;12
europe;2020-03-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;New;1;Cat. A;1;17;19;15;16;50;49;47;49;35;36;35;34;16;19;12;17
europe;2020-03-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;40;40;36;39;38;37;42;39;18;20;16;19;35;33;31;35
europe;2020-03-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;62;57;67;64;55;51;62;55;33;34;35;34;60;61;55;60
europe;2020-04-30T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;New;1;Cat. A;1;26;26;28;27;33;36;35;31;53;54;53;53;26;29;21;26
europe;2020-04-30T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;Preowend;2;Cat. A;1;11;15;15;10;49;54;47;49;51;49;51;52;12;12;10;14
europe;2020-04-30T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;New;1;Cat. A;1;13;16;13;12;51;53;51;52;34;32;34;34;16;13;12;16
europe;2020-04-30T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;40;37;42;39;37;38;34;37;19;18;16;19;36;34;39;36
europe;2020-04-30T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;62;59;65;60;49;48;45;49;34;35;29;33;63;66;60;64
europe;2020-05-31T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;New;1;Cat. A;1;25;29;28;25;32;30;35;33;55;52;57;55;29;28;26;29
europe;2020-05-31T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;Preowend;2;Cat. A;1;13;10;10;11;55;52;58;53;57;61;55;57;11;10;12;12
europe;2020-05-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;New;1;Cat. A;1;17;17;15;18;56;57;53;54;28;27;31;28;13;15;16;15
europe;2020-05-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;41;38;37;41;38;41;37;38;25;25;24;24;35;31;41;35
europe;2020-05-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;59;66;58;60;53;54;52;53;31;29;24;29;63;59;66;63
europe;2020-06-30T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;New;1;Cat. A;1;23;24;25;24;33;29;34;33;54;55;51;56;26;22;30;27
europe;2020-06-30T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;Preowend;2;Cat. A;1;15;13;15;14;54;56;56;56;56;57;61;57;15;16;15;14
europe;2020-06-30T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;New;1;Cat. A;1;16;19;19;18;52;49;51;51;34;29;33;33;12;15;14;13
europe;2020-06-30T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;39;40;35;39;36;36;40;38;25;28;24;23;35;41;35;35
europe;2020-06-30T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;62;60;64;64;50;52;51;52;30;26;34;30;57;58;57;56
europe;2020-07-31T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;New;1;Cat. A;1;23;26;23;23;38;41;40;36;57;55;53;56;22;26;27;24
europe;2020-07-31T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;Preowend;2;Cat. A;1;14;17;15;14;52;50;55;52;58;57;58;59;12;11;12;12
europe;2020-07-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;New;1;Cat. A;1;12;13;13;13;53;52;52;53;31;29;30;30;13;15;14;14
europe;2020-07-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;38;39;42;39;36;41;38;37;18;19;18;19;36;39;39;37
europe;2020-07-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;58;59;52;58;53;57;57;53;30;25;30;28;60;61;53;59
europe;2020-08-31T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;New;1;Cat. A;1;26;29;25;27;35;32;36;36;56;55;59;56;23;25;23;23
europe;2020-08-31T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;Preowend;2;Cat. A;1;10;15;10;11;55;53;52;55;51;51;48;53;11;11;10;12
europe;2020-08-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;New;1;Cat. A;1;17;17;18;16;50;46;47;49;32;29;33;34;14;15;15;14
europe;2020-08-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;37;34;32;37;34;39;38;33;24;18;23;24;40;45;40;39
europe;2020-08-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;61;62;56;61;55;59;56;56;29;30;26;31;58;61;55;58
europe;2020-09-30T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;New;1;Cat. A;1;29;31;29;29;35;33;36;36;56;60;59;57;25;29;27;25
europe;2020-09-30T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;Preowend;2;Cat. A;1;12;13;12;13;52;51;55;50;55;53;51;53;16;17;18;16
europe;2020-09-30T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;New;1;Cat. A;1;19;21;21;17;49;50;49;50;35;33;34;35;16;16;18;16
europe;2020-09-30T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;40;39;39;40;36;35;35;36;21;18;20;22;39;43;37;39
europe;2020-09-30T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;59;61;64;59;56;53;50;54;31;28;30;30;59;53;64;60
europe;2020-10-31T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;New;1;Cat. A;1;25;24;22;25;34;31;30;35;51;54;54;51;23;21;19;23
europe;2020-10-31T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;Preowend;2;Cat. A;1;14;17;18;14;54;49;51;52;53;52;49;51;14;19;17;16
europe;2020-10-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;New;1;Cat. A;1;17;18;19;16;55;57;55;56;34;29;30;32;14;12;13;14
